timestamp,open,high,low,close,volume
2025-11-25,304.1250,306.0000,297.0600,304.4800,2825322
2025-11-24,299.1800,307.1800,297.5100,304.1200,6050640
2025-11-21,293.4800,300.4800,291.8900,297.4400,5710903
2025-11-20,294.6400,300.7100,290.1600,290.4000,5597028
2025-11-19,290.5000,291.1099,288.0700,288.5300,3595912
2025-11-18,297.0000,297.0000,289.9200,289.9500,4861928
2025-11-17,305.5900,306.0000,296.5100,297.1700,3909741
2025-11-14,300.0000,307.7200,297.5900,305.6900,3592455
2025-11-13,312.2900,314.6000,303.6800,304.8600,5310150
2025-11-12,319.8900,324.9000,314.5324,314.9800,6042686
2025-11-11,309.0000,317.9100,308.4300,313.7200,4381913
2025-11-10,306.8200,309.9400,304.2300,309.1300,2975188
2025-11-07,309.6800,310.0000,302.6301,306.3800,5070773
2025-11-06,306.7500,315.4400,301.0900,312.4200,6818521
2025-11-05,301.3800,307.2000,299.7100,306.7700,4633195
2025-11-04,300.0000,303.1700,296.0000,300.8500,5677330
2025-11-03,308.0000,312.1411,304.2300,304.7300,4957958
2025-10-31,312.0000,313.5000,301.6300,307.4100,7697499
2025-10-30,306.6500,313.7500,305.0200,310.0600,4694275
2025-10-29,312.7900,314.3300,307.5200,308.2100,4135948
2025-10-28,312.6000,319.3500,311.4100,312.5700,6044770
2025-10-27,307.8000,313.5000,302.8800,313.0900,9868151
2025-10-24,283.7700,310.7500,282.2100,307.4600,16914243
2025-10-23,264.9500,285.5791,263.5623,285.0000,16676394
2025-10-22,281.9900,289.1700,281.3500,287.5100,10538480
2025-10-21,283.3100,285.3100,281.6000,282.0500,4080981
2025-10-20,281.2500,285.5000,280.9600,283.6500,3494336
2025-10-17,276.1500,283.4000,275.3500,281.2800,5309565
2025-10-16,281.1100,282.5600,275.6000,275.9700,2956923
2025-10-15,278.3800,285.4500,277.0000,280.7500,3346753
2025-10-14,275.5200,277.5300,272.5469,276.1500,3058149
2025-10-13,279.7900,282.4399,274.6400,277.2200,4333836
2025-10-10,288.9700,290.3850,277.5000,277.8200,4508506
2025-10-09,289.8200,290.1300,283.3200,288.2300,4912375
2025-10-08,294.1600,294.2000,286.4730,289.4600,5297030
2025-10-07,295.5500,301.0425,293.2850,293.8700,7190126
2025-10-06,288.6100,291.4500,287.8000,289.4200,2881947
2025-10-03,287.5000,293.3200,287.3000,288.3700,4375082
2025-10-02,285.7900,288.5400,282.7900,286.7200,3814232
2025-10-01,280.2000,286.5900,280.1500,286.4900,4381338
2025-09-30,280.8800,286.0250,280.5200,282.1600,5926924
2025-09-29,286.0000,286.0000,279.6600,279.8000,6022125
2025-09-26,280.5100,288.8500,280.1100,284.3100,9063938
2025-09-25,272.9350,284.2300,271.1480,281.4400,11506192
2025-09-24,272.6200,273.6499,267.3000,267.5300,3159924
2025-09-23,272.7000,273.2962,269.2650,272.2400,5394121
2025-09-22,266.6200,272.3100,266.0000,271.3700,5030540
2025-09-19,266.0500,267.8700,263.6400,266.4000,9858112
2025-09-18,258.8600,265.2300,256.8004,265.0000,4988421
2025-09-17,257.4950,260.9644,257.0100,259.0800,3974785
2025-09-16,256.2600,258.0000,254.4100,257.5200,2719918
2025-09-15,254.0200,259.0500,254.0000,256.2400,4028365
2025-09-12,256.9500,257.2500,252.4250,253.4400,3433300
2025-09-11,257.5600,258.5450,255.6550,257.0100,3576048
2025-09-10,259.6500,260.0800,254.5600,256.8800,5185420
2025-09-09,256.1200,260.6600,254.8800,259.1100,4931105
2025-09-08,248.6300,257.1500,247.0200,256.0900,6940270
2025-09-05,248.2300,249.0300,245.4500,248.5300,3147478
2025-09-04,245.4200,249.2800,242.8500,247.1800,4765087
2025-09-03,240.0200,244.2500,239.4100,244.1000,3156289
2025-09-02,240.9000,241.5500,238.2500,241.5000,3469501
2025-08-29,245.2300,245.4599,241.7200,243.4900,2967558
2025-08-28,245.4300,245.8800,243.3600,245.7300,2820817
2025-08-27,242.8700,245.9600,242.0000,244.8400,3698372
2025-08-26,241.0200,244.9800,240.3800,242.6300,5386582
2025-08-25,242.5650,242.5650,239.4300,239.4300,3513327
2025-08-22,240.7400,243.6800,240.2200,242.0900,3134882
2025-08-21,242.2100,242.5000,238.6500,239.4000,2991902
2025-08-20,242.1100,242.8800,240.3400,242.5500,3240064
2025-08-19,240.0000,242.8300,239.4900,241.2800,3328305
2025-08-18,239.5700,241.4200,239.1158,239.4500,3569594
2025-08-15,237.6100,240.6200,236.7700,239.7200,4344322
2025-08-14,238.2500,239.0000,235.6200,237.1100,4556725
2025-08-13,236.2000,240.8411,236.2000,240.0700,5663562
